Title,Date,Score,Review
the-legend-of-zelda-tears-of-the-kingdom,"May 18, 2026",7,"My favorite series' second major blunder. 

I want to preface this by stating, TOTK is not a bad game. I know a lot of people will look at a 7 and loose their minds but stay with me here. 

Every time a Zelda game gets announced the hype is electric, everyone is on board. When that first TOTK teaser dropped in 2019/20 (don't remember exactly when) the one where Link and Zelda descend beneath the castle to find the mummified corpse of Ganon I was hooked. I thought we were going to get another darker LoZ game, like twilight princess but in a world beyond Hyrule. 

Imagine my immense disappointment when I learned it was the same world again with sky islands and essentially a giant cave system underground. 

I love Breath of the Wild, the game was unique in its minimalist approach and it works so well, but outside of the story change up and new crafting techniques available to link, it really felt like being shown the same game twice. 

Now there are improvements, very welcome improvements such as traditional dungeons, weapon creativity, a stronger story in my opinion and if you played on the switch 2; a playable framerate. However, they don't do enough to make me feel like this is a brand new Zelda game and not BOTW 70$ DLC. 

I want to love this game, and there are times I had fun playing it. But I don't have the urge to explore like I did the first time which is a shame, there are probably cool things hidden in the world but I genuinely can't be bothered to walk through the same areas for the 100th time in the hopes of finding a new shiny temporary weapon or shrine. 

I do worry Nintendo is going to get stuck in BOTW fever and this become their Forza Horizon or Call of Duty, where they'll just keep pumping out games in this Hyrule instead of changing it up like they used to. I can only hope the next Zelda has that semi-linear with open areas like the Ocarina to Twilight run it had. Or maybe I'm just old and this is what the people want."
the-legend-of-zelda-tears-of-the-kingdom,"Mar 25, 2025",7,"Se siente como una version mas nerfeada del juego original, en historia esta bien pero hubiera estado bueno que combinara mecanicas del anterior juego"
the-legend-of-zelda-tears-of-the-kingdom,"May 15, 2026",7,"I was very hyped before the Release. I loved botw and so i thougt it become great. The shrines are better than in botw, but its exactly the same map like in botw. New was the sky and the underground from Hyrule, but I don't liked the underground because you Can't sew anything arround you. The holes in Hyrule are cool, the titans were funny. All in all the World was boring, when you played botw so a long time like me. And the thing with the kroks are an desaster too. I would have liked that the maked it so like Gorilla games whith Horizon. A completely New map, a good reason, why it's another map. So it feels like an dlc for botw"
the-legend-of-zelda-tears-of-the-kingdom,"May 12, 2026",6,"Too similar to Breath of the wild that felt new and special.
Vehicles beat everything once you have loads of parts.
The skies added a few new puzzles, but not much and the depths are just boring most of the time.
Definitely worth playing, but not worth the amount of time BotW deserves."
the-legend-of-zelda-tears-of-the-kingdom,"May 5, 2026",8,"Моя оценка будет 8 из 10 поскольку речь идёт о 2023 году Я понимаю что игра очень приятная ничем почти не отличаюсь от предыдущей , но проблема в том что у неё взяли просто скопировали и добавили чуть разные механики воздействие с окружающим миром и физическими предметами , добавили немножко летающих островов , и непонятно зачем никому не нужно подземный мир настолько ненужные что туда просто можно и не лезть , хитрый ход nintendo скопировали ту же игру добавили контента как DLC Валя пожалуйста новая игра новое название"
the-legend-of-zelda-tears-of-the-kingdom,"Apr 26, 2026",10,"Muy buenas mecanicas de construccion y fisicas fascinantes, nuevamente inovando en el gameplay"
the-legend-of-zelda-tears-of-the-kingdom,"Apr 25, 2026",10,"Amazing game with better story, better ganondorf  and unlimited creativity, fantastic sequel"
the-legend-of-zelda-tears-of-the-kingdom,"Apr 4, 2026",10,"Até hoje, 24/04/2026, eu achava o Ocarina of Time o melhor Zelda, asism como o melhor jogo da história, mas o TOTK conseguiu superar ele. Que jogo foda. PQP.
É uma versão melhorada em tudo do BOTW"
the-legend-of-zelda-tears-of-the-kingdom,"Apr 25, 2026",10,"Amazing. My only issue with BOTW was lack of story, this time the story is incredible. The game is bigger, better and executed perfectly."
the-legend-of-zelda-tears-of-the-kingdom,"Apr 23, 2026",8,"UNLIMITED CREATIVITY, FAMILIAR GROUND: Tears of the Kingdom stands strong by introducing revolutionary new mechanics and creative puzzles, but it suffers from leaning too heavily on Breath of the Wild’s foundation while simultaneously raising the price by $10. It is a brilliant expansion of an existing world, but that familiarity comes at a cost. THE EVOLUTION: A BUILDER’S PARADISE: If Breath of the Wild was about exploration, Tears of the Kingdom is about invention. The new ""Ultrahand"" and ""Fuse"" mechanics are nothing short of wonderful. Being able to build everything from simple rafts to complex, fire-breathing mechs turns every obstacle into a creative playground. This ingenuity extends to the shrines and world puzzles, which are significantly more polished and satisfying than those in the previous game. The sheer joy of ""breaking"" a puzzle with a ridiculous contraption is the game’s greatest strength. THE SKY AND THE DEPTHS: While the surface may feel familiar, the addition of the Sky Islands and the massive, eerie Depths adds a much-needed layer of verticality. Descending into the pitch-black Depths for the first time is a haunting, high-stakes experience that balances the bright, airy feel of the Sky. These new locations provide the ""wow"" factor that keeps the game from feeling like a simple retread. THE BIGGEST CONS: RECYCLED ASSETS AND THE PRICE TAG: However, three major issues hold this back from perfection. First, the surface map is essentially a ""Ctrl C + Ctrl V"" of the BOTW map. While there are changes, the ""déjà vu"" is real and can make exploration feel less magical for returning players. Second, the story is surprisingly paper-thin; it lacks the quiet, emotional resonance that made BOTW’s narrative so memorable. Finally, there is the $70 price tag. Charging $10 more for a game that heavily reuses the world and assets of its predecessor is a tough pill to swallow. PERFORMANCE: PUSHING THE LIMITS: Technically, the game is a miracle of optimization for the aging Switch hardware. The fact that the physics engine can track multiple moving parts on a custom-built mech without crashing is impressive. That said, you will see frequent frame drops when using Ultrahand in busy areas, reminding you that this software is screaming for more powerful hardware. (Note: A Switch 2 version does exist, but be aware that it requires a separate purchase.)PROS:Revolutionary building mechanics (Ultrahand/Fuse). Incredible, complex shrine puzzles. Massive new world layers with the Sky and the Depths. CONS:Surface map feels overly recycled from the first game. Paper-thin narrative compared to Breath of the Wild. The $70 entry fee feels steep for a sequel with reused assets. THE FINAL VERDICT: 8/10: Tears of the Kingdom is a mechanical masterpiece that offers some of the best gameplay in the series. However, the recycled world and increased price prevent it from reaching the legendary status of its predecessor. It is an essential play for the ""mechs"" and the puzzles, but the sense of discovery isn't quite as fresh the second time around."
the-legend-of-zelda-tears-of-the-kingdom,"Apr 20, 2026",10,"Ботва была очень хороша, но это, это шедевр, такие эмоции я испытывал только играя в ботву, это прекрасная игра."
the-legend-of-zelda-tears-of-the-kingdom,"Apr 19, 2026",10,"Brilliant, one of my favourite sequels to any game, the storytelling is a bit on the weaker side but the gameplay is outstanding."
the-legend-of-zelda-tears-of-the-kingdom,"Apr 15, 2026",10,"Amazing and very fun game.
Perfect gameplay.
The Legend of Zelda: Tears of the Kingdom is a masterpiece 10/10."
the-legend-of-zelda-tears-of-the-kingdom,"Apr 14, 2026",9,"La secuela de un juego para mí perfecto. Recuerdo que esperé con mucha ansia este juego y después le metí 70 horas en una semana, para después completarlo al completo y gozarmelo como nunca. Aunque me guste mucho este juego, considero que si precuela (Breath of the Wild) me ofreció una experiencia única que jamás se volverá a repetir, pero aún así este juego mejora muchos aspectos de anterior y eso me encanta. Simplemente un muy buen trabajo por parte de Aonuma y su equipo, una vez más gracias Nintendo."
the-legend-of-zelda-tears-of-the-kingdom,"Apr 14, 2026",10,desde que me lo pasé no he jugado ningún juego como este en mi vida. El mejor juego de la historia
the-legend-of-zelda-tears-of-the-kingdom,"Apr 10, 2026",10,To najlepsza gra jaka kiedykolwiek powstała. Tylko Nintendo jest wstanie dostarczyć takie arcydzieło.
the-legend-of-zelda-tears-of-the-kingdom,"Apr 10, 2026",7,Biggest game extension ever - Not a new entry to the series but an add on to Breath of the Wild - but with less depth and more gimmicks. Nintendo didn't rattle their brains much with this one. More quantity than quality. Whee is the innovation ?
the-legend-of-zelda-tears-of-the-kingdom,"Apr 6, 2026",10,"Breath of the wild is already amazing, and tears of the kingdom is perfect of you search for a Botw 2. Must play these days"
the-legend-of-zelda-tears-of-the-kingdom,"Apr 4, 2026",10,A built upon world of the already perfect breath of the wild. Highly reccomend
the-legend-of-zelda-tears-of-the-kingdom,"Apr 4, 2026",10,"I love how this game feels moderna on the just same map than botw, and how the powers feels so natural. And how manage and run in the switch, maybe at 30 fps and 720p sometimes less or maybe more but it run."
the-legend-of-zelda-tears-of-the-kingdom,"Apr 3, 2026",10,"Este Zelda es simplemente perfecto por su arte, historia, banda sonora y fisicas. Es uno de los mejores mundos abiertos jamas hechos y una evolucion de BOTW"
the-legend-of-zelda-tears-of-the-kingdom,"Apr 3, 2026",3,"This game is the definition of lazy, which is something that has become a bit of a habit with Nintendo in recent years. Mario kart world is another example of that. They couldn’t be bothered to make a new map so they just copy and pasted caves to put under the original map and filled it with repetitive enemies and tasks. It’s fun for a little bit but gets boring quite quickly."
the-legend-of-zelda-tears-of-the-kingdom,"Apr 2, 2026",10,"Questo gioco è come il primo tranne per la vastità delle cose da fare e per quanto è grossa la mappa, ma per me resta comunque in cima alla lista insieme al primo"
the-legend-of-zelda-tears-of-the-kingdom,"Apr 1, 2026",10,"We all knew it would be hard for Nintendo to make a game worth following up a game like BotW but they did it with no problems. Even if BotW was more revolutionary, this game is a better experience. The story is better, the runes are a lot more fun to play with and the final boss is a lot better than that stupid pig.
Better than Breath of the Wild, 100/100"
the-legend-of-zelda-tears-of-the-kingdom,"Mar 31, 2026",10,"The Legend of Zelda: Tears of the Kingdom (9.8/10) elevates open-world adventure to new heights. Expansive skies, intricate underground zones, and inventive physics-based mechanics invite limitless creativity. Exploration feels rewarding, combat is thrilling, and the story adds emotional depth. Every detail, from crafting to environmental puzzles, enhances immersion. A dazzling, ambitious sequel that honors its legacy while boldly expanding Hyrule."
the-legend-of-zelda-tears-of-the-kingdom,"Mar 31, 2026",8,"This was my first Zelda game and it did not disappoint. Jumping off of the training island and landing on the continent gave me goosebumps. Combat is simple and fun, and the tools the game gives you make the world your playground."
the-legend-of-zelda-tears-of-the-kingdom,"Mar 31, 2026",10,O jogo é uma maravilha ele pega o q o brefh of wild faz e faz melhor com um vasto mundo cheio de coisas para explorar 3 lugares inteiros para a exploração e os poderes do links estão muito bons o ultrahand te dá um liberdade criativa tão gigante além da história ótima do jogo q você vai descobrindo aos poucos
the-legend-of-zelda-tears-of-the-kingdom,"Mar 29, 2026",9,[SPOILER ALERT: This review contains spoilers.]
the-legend-of-zelda-tears-of-the-kingdom,"Mar 28, 2026",6,"Tears of the Kingdom is basically Breath of The Wild, but slightly worse. It takes the worst elements of BOTW and makes them worse. Most improvements are minor."
the-legend-of-zelda-tears-of-the-kingdom,"Mar 28, 2026",10,"I simply love the exploration and setting of this game; the soundtrack and art direction drive me crazy. Needless to say, the freedom this game gives you is insane. Without a doubt, one of my favorites."
the-legend-of-zelda-tears-of-the-kingdom,"Mar 28, 2026",10,"Uno de los mejores videojuegos que he jugado en mi vida. La historia no es tan buena como la del Breath of the Wild, pero lo compensa con un mapa mucho mayor y una jugabilidad estratosférica. Un imprescindible."
the-legend-of-zelda-tears-of-the-kingdom,"Mar 24, 2026",10,"Un Zelda BOTW amélioré pour ma part, il fait partie des rares jeux qui ne m'as pas ennuyer après une centaines d'heures. Il reste dans la ligné de son grand frère qui à était un jeu marquant le jeux-vidéos."
the-legend-of-zelda-tears-of-the-kingdom,"Mar 24, 2026",8,"I'm not sure if this is just me, but I adore the way the Zelda team made this game feel so different from Breath of the Wild. It might be the music, the new abilities, enemies, or just random changes to the map, but Tears of the Kingdom really shocked me on my first playthrough.
I remember when we used to call it Breath of the Wild 2 lol."
the-legend-of-zelda-tears-of-the-kingdom,"Mar 24, 2026",10,I really love this game how the world is so beautiful and the mechanics are perfect
the-legend-of-zelda-tears-of-the-kingdom,"Mar 22, 2026",10,"Simplemente, majestuoso, un juego que tiene todo, exploración, mecánicas, historia, estilo artístico y todo lo que se puede pedir."
